"","gene_short_name","num_cells_expressed","use_for_ordering"
"MGST2","MGST2",417,TRUE
"INPP4B","INPP4B",351,TRUE
"OTUD4","OTUD4",318,TRUE
"PRMT9","PRMT9",214,TRUE
"RPS3A","RPS3A",289,TRUE
"PDGFC","PDGFC",554,TRUE
"NAF1","NAF1",229,TRUE
"GALNTL6","GALNTL6",404,TRUE
"SPCS3","SPCS3",293,TRUE
"AC078881.1","AC078881.1",240,TRUE
"TRAPPC11","TRAPPC11",325,TRUE
"ACSL1","ACSL1",284,TRUE
"EXOC3","EXOC3",275,TRUE
"LPCAT1","LPCAT1",203,TRUE
"C5orf17","C5orf17",191,TRUE
"CDH9","CDH9",292,TRUE
"SUB1","SUB1",364,TRUE
"PRKAA1","PRKAA1",251,TRUE
"RPL37","RPL37",498,TRUE
"PLCXD3","PLCXD3",448,TRUE
"AC025171.2","AC025171.2",228,TRUE
"HMGCS1","HMGCS1",233,TRUE
"TMEM267","TMEM267",210,TRUE
"DHX29","DHX29",251,TRUE
"TRIM23","TRIM23",220,TRUE
"CCDC125","CCDC125",319,TRUE
"GTF2H2","GTF2H2",228,TRUE
"ENC1","ENC1",559,TRUE
"HEXB","HEXB",205,TRUE
"HOMER1","HOMER1",465,TRUE
"RPS23","RPS23",360,TRUE
"XRCC4","XRCC4",350,TRUE
"COX7C","COX7C",257,TRUE
"ADGRV1","ADGRV1",302,TRUE
"AC104123.1","AC104123.1",279,TRUE
"PAM","PAM",378,TRUE
"SRP19","SRP19",219,TRUE
"REEP5","REEP5",354,TRUE
"MCC","MCC",227,TRUE
"TRIM36","TRIM36",332,TRUE
"ATG12","ATG12",213,TRUE
"SEMA6A-AS1","SEMA6A-AS1",273,TRUE
"TNFAIP8","TNFAIP8",247,TRUE
"SRFBP1","SRFBP1",255,TRUE
"HINT1","HINT1",215,TRUE
"HSPA4","HSPA4",335,TRUE
"SKP1","SKP1",384,TRUE
"PCBD2","PCBD2",327,TRUE
"AC010378.2","AC010378.2",231,TRUE
"PFDN1","PFDN1",261,TRUE
"CD14","CD14",281,TRUE
"PRELID2","PRELID2",368,TRUE
"CAMK2A","CAMK2A",458,TRUE
"RPS14","RPS14",435,TRUE
"TTC1","TTC1",266,TRUE
"GABRA1","GABRA1",271,TRUE
"GABRG2","GABRG2",273,TRUE
"PANK3","PANK3",260,TRUE
"NPM1","NPM1",218,TRUE
"DUSP1","DUSP1",219,TRUE
"NSG2","NSG2",241,TRUE
"SIMC1","SIMC1",334,TRUE
"SNCB","SNCB",256,TRUE
"FAM193B","FAM193B",433,TRUE
"CLK4","CLK4",340,TRUE
"LTC4S","LTC4S",280,TRUE
"MAPK9","MAPK9",413,TRUE
"RACK1","RACK1",369,TRUE
"DUSP22","DUSP22",288,TRUE
"NQO2","NQO2",238,TRUE
"TUBB2A","TUBB2A",239,TRUE
"SSR1","SSR1",363,TRUE
"NEDD9","NEDD9",279,TRUE
"CD83","CD83",297,TRUE
"CAP2","CAP2",260,TRUE
"RNF144B","RNF144B",317,TRUE
"CASC15","CASC15",253,TRUE
"HIST1H2AC","HIST1H2AC",414,TRUE
"TRIM27","TRIM27",304,TRUE
"GABBR1","GABBR1",309,TRUE
"HLA-A","HLA-A",239,TRUE
"TRIM26","TRIM26",213,TRUE
"HLA-E","HLA-E",468,TRUE
"PPP1R18","PPP1R18",184,TRUE
"TUBB","TUBB",287,TRUE
"IER3","IER3",240,TRUE
"HCG22","HCG22",254,TRUE
"HLA-C","HLA-C",204,TRUE
"HLA-B","HLA-B",270,TRUE
"LST1","LST1",486,TRUE
"AIF1","AIF1",271,TRUE
"PRRC2A","PRRC2A",278,TRUE
"HSPA1A","HSPA1A",646,TRUE
"HSPA1B","HSPA1B",371,TRUE
"ATF6B","ATF6B",279,TRUE
"HLA-DRA","HLA-DRA",445,TRUE
"HLA-DRB5","HLA-DRB5",186,TRUE
"HLA-DRB1","HLA-DRB1",508,TRUE
"HLA-DMB","HLA-DMB",337,TRUE
"HLA-DMA","HLA-DMA",264,TRUE
"BRD2","BRD2",298,TRUE
"HLA-DPA1","HLA-DPA1",232,TRUE
"HLA-DPB1","HLA-DPB1",301,TRUE
"RPS18","RPS18",418,TRUE
"RGL2","RGL2",257,TRUE
"NUDT3","NUDT3",448,TRUE
"DEF6","DEF6",425,TRUE
"RPL10A","RPL10A",216,TRUE
"SRSF3","SRSF3",343,TRUE
"C6orf89","C6orf89",349,TRUE
"CNPY3","CNPY3",369,TRUE
"KLHDC3","KLHDC3",214,TRUE
"CUL9","CUL9",214,TRUE
"TMEM63B","TMEM63B",231,TRUE
"PTCHD4","PTCHD4",230,TRUE
"EEF1A1","EEF1A1",719,TRUE
"COX7A2","COX7A2",182,TRUE
"TMEM30A","TMEM30A",307,TRUE
"HMGN3","HMGN3",516,TRUE
"CEP162","CEP162",274,TRUE
"PNRC1","PNRC1",264,TRUE
"USP45","USP45",215,TRUE
"CCNC","CCNC",231,TRUE
"PREP","PREP",333,TRUE
"PRDM1","PRDM1",280,TRUE
"OSTM1","OSTM1",250,TRUE
"SNX3","SNX3",331,TRUE
"MICAL1","MICAL1",216,TRUE
"CDC40","CDC40",261,TRUE
"LINC01268","LINC01268",516,TRUE
"TSPYL1","TSPYL1",315,TRUE
"MAN1A1","MAN1A1",611,TRUE
"AL078600.1","AL078600.1",236,TRUE
"ARHGAP18","ARHGAP18",318,TRUE
"MED23","MED23",345,TRUE
"SLC18B1","SLC18B1",343,TRUE
"RPS12","RPS12",308,TRUE
"AL078590.2","AL078590.2",342,TRUE
"AL592429.2","AL592429.2",462,TRUE
"VTA1","VTA1",278,TRUE
"RAB32","RAB32",202,TRUE
"SYTL3","SYTL3",447,TRUE
"TAGAP","TAGAP",169,TRUE
"PRKAR1B","PRKAR1B",301,TRUE
"EIF3B","EIF3B",257,TRUE
"TTYH3","TTYH3",307,TRUE
"NXPH1","NXPH1",287,TRUE
"NDUFA4","NDUFA4",281,TRUE
"SCIN","SCIN",300,TRUE
"AC011287.1","AC011287.1",359,TRUE
"STEAP1B","STEAP1B",329,TRUE
"TOMM7","TOMM7",221,TRUE
"KLHL7","KLHL7",304,TRUE
"AC005165.1","AC005165.1",248,TRUE
"CBX3","CBX3",214,TRUE
"SNX10","SNX10",345,TRUE
"CPVL","CPVL",491,TRUE
"NOD1","NOD1",191,TRUE
"KBTBD2","KBTBD2",274,TRUE
"DPY19L1","DPY19L1",255,TRUE
"HERPUD2","HERPUD2",265,TRUE
"ELMO1-AS1","ELMO1-AS1",191,TRUE
"STK17A","STK17A",399,TRUE
"ZMIZ2","ZMIZ2",289,TRUE
"PPIA","PPIA",372,TRUE
"H2AFV","H2AFV",203,TRUE
"ADCY1","ADCY1",211,TRUE
"VWC2","VWC2",221,TRUE
"ZNF736","ZNF736",317,TRUE
"NSUN5","NSUN5",200,TRUE
"MLXIPL","MLXIPL",597,TRUE
"LIMK1","LIMK1",244,TRUE
"LAT2","LAT2",570,TRUE
"GTF2IRD2","GTF2IRD2",214,TRUE
"HSPB1","HSPB1",173,TRUE
"DTX2","DTX2",213,TRUE
"CCDC146","CCDC146",459,TRUE
"TMEM243","TMEM243",238,TRUE
"GTPBP10","GTPBP10",285,TRUE
"SAMD9L","SAMD9L",314,TRUE
"PDK4","PDK4",219,TRUE
"TECPR1","TECPR1",213,TRUE
"ATP5MF","ATP5MF",182,TRUE
